stage,model,precision,recall,f1,pr_auc,false_positive_rate,top1pct_alert_budget_precision,alert_budget_k,latency_ms_per_event,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
anomaly_detection,isolation_forest,0.3251,0.5257,0.4017,0.3867,0.0359,0.6,55.0,0.0381,,,,,
anomaly_detection,one_class_svm,0.2903,0.8857,0.4372,0.7058,0.0712,0.9455,55.0,,,,,,
anomaly_detection,local_outlier_factor,0.3459,0.68,0.4586,0.657,0.0423,1.0,55.0,,,,,,
attack_classification,random_forest,,,,,,,,,0.9958,0.9482,0.89,0.9146,0.9957
attack_classification,hist_gradient_boosting,,,,,,,,,0.986,0.8093,0.842,0.7972,0.9876
attack_classification,logistic_regression,,,,,,,,,0.5315,0.3833,0.7854,0.3876,0.6743
